Product Name,Prices,Description
MC74VHCT126A,$0.1733," Quad Bus Buffer, 3-State, TTL Level "
MC74VHCT240A,$0.2667," Octal Inverting Buffer/Line Driver, 3-State Output "
MC74VHCT244A,$0.2, Octal Bus Buffer/Line Driver 
MC74VHCT257A,$0.1867, Quad 2-Channel Multiplexer (Mux) with 3-State Outputs 
MC74VHCT50A,$0.12, Non-inverting Buffer / CMOS Logic Level Shifter with LSTTL-Compatible Inputs 
MC74VHCT541A,$0.1933," Non-inverting Octal Bus Buffer/Line Driver/Line Receiver, TTL Level, 3-State "
MM74HC04,$0.1312, Hex Inverter 
MM74HC125,$0.0973, 3-STATE Quad Buffers 
MM74HC126,$0.1535, 3-STATE Quad Buffers 
MM74HC240,$0.2179, Inverting Octal 3-STATE Buffer 
MM74HC244,$0.2247, Octal 3-STATE Buffer 
MM74HC540,$0.2247, Inverting Octal 3-STATE Buffers 
MM74HC541,$0.1583, Octal 3-STATE Buffers 
MM74HCT04,$0.1291, Hex Inverter 
MM74HCT05,$0.1424, Hex Inverter (Open Drain) 
MM74HCT240,$0.2292, Inverting Octal 3-STATE Buffer 
MM74HCT244,$0.2179, Octal 3-STATE Buffer 
MM74HCT540,$0.2452, Inverting Octal 3-STATE Buffer 
MM74HCT541,$0.1625, Octal 3-STATE Buffer 
MM74HCU04,$0.1248, Hex Inverter 
NC7NP14,$0.2363, TinyLogic ULP Triple Inverter with Schmitt Trigger Input 
NC7NP34,$0.24, TinyLogic ULP Triple Buffer 
NC7NZ04,$0.1165, TinyLogic UHS Inverter 
NC7NZ14,$0.1288, TinyLogic UHS Inverter with Schmitt Trigger Input 
NC7NZ17,$0.1303, TinyLogic UHS Triple Buffer with Schmitt Trigger Inputs 
NC7NZ34,$0.1187, TinyLogic UHS Triple Buffer 
NC7S04,$0.0516, TinyLogic HS Inverter 
NC7S14,$0.0516, TinyLogic HS Inverter with Schmitt Trigger Input 
NC7SP04,$0.0812, TinyLogic ULP Inverter 
NC7SP05,$0.0815, TinyLogic ULP Inverter (Open Drain Output) 
NC7SP125,$0.1027, TinyLogic ULP Buffer with 3-STATE Output 
NC7SP126,$0.0964, TinyLogic ULP Buffer with 3-STATE Output 
NC7SP14,$0.0613, TinyLogic ULP Inverter with Schmitt Trigger Input 
NC7SP17,$0.064, TinyLogic ULP Single Buffer with Schmitt Trigger Input 
NC7SP34,$0.1083, TinyLogic ULP Single Buffer 
NC7SPU04,$0.0569, TinyLogic ULP Unbuffered Inverter 
NC7ST04,$0.0516, TinyLogic HST Inverter 
NC7SU04,$0.0516, TinyLogic HS Unbuffered Inverter 
NC7SV04,$0.0467, TinyLogic ULP-A Inverter 
NC7SV05,$0.0688, TinyLogic ULP-A Inverter (Open Drain Output) 
NC7SV125,$0.0793, TinyLogic ULP-A Buffer with 3-STATE Output 
NC7SV126,0, TinyLogic ULP-A Buffer with 3-STATE Output 
NC7SV14,$0.0493, TinyLogic ULP-A Inverter with Schmitt Trigger Input 
NC7SV17,$0.0743, TinyLogic ULP-A Single Buffer with Schmitt Trigger Input 
NC7SV34,$0.0781, TinyLogic ULP-A Single Buffer 
NC7SVL04,$0.0735, TinyLogic Low-ICCT Inverter 
NC7SVU04,$0.1, TinyLogic ULP-A Unbuffered Inverter 
NC7SZ04,$0.0516, TinyLogic UHS Inverter 
NC7SZ05,$0.044, TinyLogic UHS Inverter (Open Drain Output) 
NC7SZ125,$0.0516, TinyLogic UHS Buffer with 3-STATE Output 
NC7SZ126,$0.0516, TinyLogic UHS Buffer with 3-STATE Output 
NC7SZ14,$0.0516, TinyLogic UHS Inverter with Schmitt Trigger Input 
NC7SZ34,$0.12, Ultra High Speed Buffer 
NC7SZU04,$0.038, TinyLogic UHS Unbuffered Inverter 
NC7WP125,$0.1743, TinyLogic ULP Buffer with 3-STATE Output 
NC7WP14,$0.1141, TinyLogic ULP Inverter with Schmitt Trigger Inputs 
NC7WV04,$0.1203, TinyLogic ULP-A Dual Inverter 
NC7WV07,$0.0931, TinyLogic ULP-A Dual Buffer (Open-Drain Output) 
NC7WV125,$0.21, TinyLogic ULP-A Dual Buffer with 3-STATE Output 
NC7WV14,$0.1187, TinyLogic ULP-A Dual Inverter with Schmitt Trigger Input 
NC7WV16,$0.1521, TinyLogic ULP-A Dual Buffer 
NC7WV17,$0.1295, TinyLogic ULP-A Dual Buffer with Schmitt Trigger Input 
NC7WZ04,$0.0587, TinyLogic UHS Dual Inverter 
NC7WZ07,$0.0568, TinyLogic UHS Dual Buffer (Open-Drain Outputs) 
NC7WZ125,$0.1207, TinyLogic UHS Buffer with 3-STATE Output 
NC7WZ126,$0.1172, TinyLogic UHS Buffer with 3-STATE Output 
NC7WZ14,$0.0489, TinyLogic UHS Dual Inverter with Schmitt Trigger Inputs 
NC7WZ16,$0.0699, TinyLogic UHS Dual Buffer 
NC7WZ17,$0.06, TinyLogic UHS Dual Buffer with Schmitt Trigger Inputs 
NC7WZ240,$0.1468, TinyLogic UHS Dual Inverting Buffer with 3-STATE Outputs 
NC7WZ241,$0.1336, TinyLogic UHS Dual Buffer with 3-STATE Outputs 
NC7WZU04,$0.0524, TinyLogic UHS Dual Unbuffered Inverter 
NL17SG04,$0.084, Single Inverter 
NL17SG07,$0.084, Buffer with Open-Drain Output 
NL17SG07E,$0.0533," Buffer with Open Drain Outputs, Low Voltage "
NL17SG125,$0.084, Bus Buffer with 3-State 
NL17SG126,$0.084, Bus Buffer with 3-State Output 
NL17SG17,$0.084, Schmitt Buffer 
NL17SG34,$0.084, Single Buffer 
NL17SH125,$0.0491, Non-Inverting 3-State Buffer 
NL17SH126,$0.0467, Noninverting 3-State Buffer 
NL17SH17,$0.0491, Single Schmitt-Trigger Buffer 
NL17SH34,$0.0491, Single Buffer 
NL17SHT126,$0.0467, Non-Iinverting 3-State Buffer 
NL17SV125,$0.0533, Non-Inverting Buffer with 3-STATE Output 
NL17SV16,$0.14, Single Non-Inverting Buffer 
NL17SZ05,$0.016, Single Open Drain Inverter 
NL17SZ06,$0.016," Single Inverter, Open Drain "
NL17SZ07,$0.016," Single Non-Inverting Buffer, Open Drain "
NL17SZ125,$0.016," Single Non-Inverting Buffer, 3-State "
NL17SZ126,$0.016," Single Non-Inverting Buffer, 3-State "
NL17SZ14,$0.016, Single Inverter with Schmitt Trigger Input 
NL17SZ16,$0.016, Single Buffer 
NL17SZ17,$0.016, Single Non-Inverting Buffer with Schmitt Trigger Output 
NL17SZ240,$0.1333, NL17SZ240 
NL17SZU04,$0.016, Unbuffered Single Inverter  
NL27WZ04,$0.04, Dual Inverter 
NL27WZ06,$0.06," Dual Inverter, Open Drain "
NL27WZ07,$0.04," Dual Buffer, Open Drain "
NL27WZ125,$0.1," Dual Buffer, 3-State Low Enable "
NL27WZ126,$0.1067," Dual Buffer, 3-State High Enable "
NL37WZ06,$0.2267," Triple Inverter, Open Drain "
NL37WZ07,$0.12," Triple Buffer, Open Drain "
NL37WZ16,$0.2267, Triple Buffer 
NL37WZ17,$0.128, Triple Non-Inverting Buffer with Schmitt Trigger Inputs 
NLSF3T125,$0.4667, Quad Bus Buffer with 3-state Control Inputs 
NLSF3T126,$0.7, Quad Bus Buffer with 3-state Control Inputs 
NLU1G04,$0.1067, Single Inverter 
NLU1G14,$0.1835, Single Inverter with Schmitt Trigger Input 
NLU1GT125,$0.088," Single Non-Inverting Buffer, 3-State "
NLU1GT126,$0.0733," Single Non-Inverting Buffer, TTL-Level "
NLU1GT50,$0.1835, Single Non-Inverting Buffer with TTL-Compatible Inputs 
NLU2G04,$0.0853, Dual Inverter 
NLU2G06,$0.21, Dual Inverter with Open Drain Output 
NLU2G14,$0.21, Dual Inverter with Schmitt Trigger Input 
NLU2G16,$0.0853, Dual Buffer 
NLU2G17,$0.0853, Dual Buffer with Schmitt Trigger Output 
NLU2GU04,$0.21, Unbuffered Dual Inverter 
NLU3G16,$0.1051, Triple Non-Inverting Buffer 
NLV17SZ06,$0.1077," Single Inverter, Open Drain "
NLV17SZ07,$0.1077," Single Non-Inverting Buffer, Open Drain "
NLX2G06,$0.0896, Dual Inverter with Open Drain Output 
NLX2G07,$0.0896, Dual Buffer with Open Drain Output 
NLX2G16,$0.1075, Dual Buffer 
NLX3G14,$0.1213, Triple Inverter with Schmitt Trigger Input 
NLX3G16,$0.112, Triple Buffer 
